country,degree_centrality,betweenness,pagerank,hub_score,airport_count,outgoing_routes,incoming_routes,total_routes,continent,rank_routes,rank_betweenness,hidden_gem_score
Virgin Islands,0.0714,0.0181,0.002,0.0915,3,39,37,76,Other,116.0,31.0,85.0
Guadeloupe,0.0893,0.0001,0.0017,0.0911,7,27,27,54,Other,137.5,192.5,-55.0
Tajikistan,0.0848,0.0023,0.0026,0.0897,4,96,98,194,Other,69.0,121.0,-52.0
Martinique,0.0848,0.0016,0.0018,0.0882,1,23,23,46,Other,148.5,130.5,18.0
Papua New Guinea,0.0714,0.0131,0.0014,0.0859,35,17,17,34,Oceania,165.5,45.0,120.5
Bahamas,0.0759,0.007,0.0027,0.0856,34,85,86,171,Other,73.0,73.5,-0.5
Slovakia,0.0804,0.0022,0.0011,0.0837,8,23,22,45,Europe,152.0,123.0,29.0
Aruba,0.0804,0.0013,0.002,0.0837,1,44,46,90,Other,102.0,141.0,-39.0
Zimbabwe,0.0804,0.0004,0.0027,0.0835,16,31,36,67,Other,127.0,167.5,-40.5
Macau,0.0804,0.0002,0.0023,0.0829,1,79,79,158,Other,78.0,182.5,-104.5
Sierra Leone,0.0804,0.0001,0.0019,0.0824,7,22,22,44,Other,153.0,192.5,-39.5
Bolivia,0.0804,0.0003,0.0015,0.0822,24,23,24,47,Other,145.0,174.0,-29.0
Turkmenistan,0.0804,0.0007,0.001,0.0821,5,15,15,30,Other,173.0,158.0,15.0
Djibouti,0.0759,0.0039,0.0016,0.0814,3,23,17,40,Other,155.5,102.0,53.5
Niger,0.0759,0.0014,0.0015,0.0788,7,17,17,34,Other,165.5,138.5,27.0
Dominica,0.0714,0.0049,0.0015,0.0778,2,17,18,35,Other,163.0,97.0,66.0
Kyrgyzstan,0.0714,0.0009,0.0021,0.0744,9,70,68,138,Other,85.0,150.5,-65.5
Uruguay,0.0714,0.0014,0.0015,0.0743,11,26,26,52,Other,140.0,138.5,1.5
Madagascar,0.0714,0.0003,0.0023,0.074,43,25,24,49,Other,143.0,174.0,-31.0
Guinea,0.0714,0.0007,0.0018,0.0739,8,18,18,36,Other,160.0,158.0,2.0
Honduras,0.0714,0.0001,0.002,0.0735,12,44,42,86,Other,104.0,192.5,-88.5
Paraguay,0.0714,0.0002,0.0013,0.0729,9,18,18,36,Other,160.0,182.5,-22.5
Haiti,0.067,0.0009,0.0014,0.0693,6,25,25,50,Other,141.5,150.5,-9.0
Afghanistan,0.067,0.0003,0.0013,0.0686,22,29,27,56,Other,134.5,174.0,-39.5
